,business_supplier,contacts_url,gold_status,gold_years,main_products,supplier_url,supplier_name_copy,rating,contact_name,contact_dept,Address:,Zip:,Country/Region:,Province/State:,City:
0,"Shanghai Lipu Electric Lighting Co., Ltd.",https://lpzm.en.alibaba.com/contactinfo.html,Gold Supplier,12,"Floodlight, Street Light, Ballast, Ignitor, LED Floodlight, LED Street Light",https://lpzm.en.alibaba.com/company_profile.html#top-nav-bar,"Shanghai Lipu Electric Lighting Co., Ltd.",0.0,Ms. liz lin,Sales,"No.2025 Luoning Road , Baoshan Economic Development Zone, Shanghai , China",200949,China,Shanghai,Shanghai
1,"Quanzhou Orientrise Horticulture Products Co., Ltd.",https://growstar.en.alibaba.com/contactinfo.html,Gold Supplier,9,"Grow Tent, Grow Pot, Bubble Bag, Inline Fan, Carbon Filter",https://growstar.en.alibaba.com/company_profile.html#top-nav-bar,"Quanzhou Orientrise Horticulture Products Co., Ltd.",4.8,Mr. Mark Orientrise,Owner/Entrepreneur,"No. 2 Chongheng street, Qingmeng development zone",362006,China,Fujian,Quanzhou
2,"Sinowell (Shanghai) Co., Ltd.",https://sinowell.en.alibaba.com/contactinfo.html,Supplier,11,"Ballast, Reflector, Bulb, Filter, Inline Fan, Reflective Mylar Film, Rope Ratchet Hanger",https://sinowell.en.alibaba.com/company_profile.html#top-nav-bar,"Sinowell (Shanghai) Co., Ltd.,Supplier",4.9,Mr. Roger Luo,Director/CEO/General Manager,"Rm 1608, Bld 2, No.335, Guoding Rd, Shanghai, 200433, China",200433,China,Shanghai,Shanghai
3,"Changzhou City Wujin Shinder Lighting Appliances Co., Ltd.",https://czxinde.en.alibaba.com/contactinfo.html,Gold Supplier,13,"Flood Light, street light, Metal Halide lamp, led flood light, led street light",https://czxinde.en.alibaba.com/company_profile.html#top-nav-bar,"Changzhou City Wujin Shinder Lighting Appliances Co., Ltd.",4.3,Mr. Jacky Zueng,Sales,"Qingyun Village, Niutang Town, Changzhou City, Jiangsu Province. China",213163,China,Jiangsu,Changzhou
4,"Huizhou HongYi Lighting Co., Ltd.",https://hydroponics-products.en.alibaba.com/contactinfo.html,Gold Supplier,7,"Grow Light Reflector, Carbon Filter, Grow Tent, Double Ended Reflector, Lighting Parts",https://hydroponics-products.en.alibaba.com/company_profile.html#top-nav-bar,"Huizhou HongYi Lighting Co., Ltd.",4.9,Mr. Bill Liu,,"FUXING INDUSTRIAL ZONE, YUANZHOU TOWN,",516123,China,Guangdong,HuiZhou
5,"Lanxi Bistar Lighting Co., Ltd.",https://bistar.en.alibaba.com/contactinfo.html,Gold Supplier,13,"Lamp, Electronic Ballast",https://bistar.en.alibaba.com/company_profile.html#top-nav-bar,"Lanxi Bistar Lighting Co., Ltd.",0.0,Mr. Ricky LU,Sales,NO.1300 Jungong RD,200433,China,Shanghai,Shanghai
6,"Chi Na Tech (HZ) Co., Ltd.",https://horti-king.en.alibaba.com/contactinfo.html,Gold Supplier,6,"Grow Lights, Ventilation Fan, Dehumidifier, Grow Tent, Carbon Filter",https://horti-king.en.alibaba.com/company_profile.html#top-nav-bar,,,Ms. Rose Wu,Sales,JingBei Road,,China,Zhejiang,Linan
7,"Shanghai JingRui Lighting Co., Ltd.",https://jr-lighting.en.alibaba.com/contactinfo.html,Gold Supplier,3,"LED light, HID Light, Tower light, Grow light, Street light",https://jr-lighting.en.alibaba.com/company_profile.html#top-nav-bar,"Shanghai JingRui Lighting Co., Ltd.",4.9,,,,,,,
8,"Shanghai Millenium Industry Co., Ltd.",https://millenium.en.alibaba.com/contactinfo.html,Supplier,2,"Grow Light, Fishing Light, Infrared Light, Ballast",https://millenium.en.alibaba.com/company_profile.html#top-nav-bar,"Shanghai Millenium Industry Co., Ltd.,Supplier",4.9,Mr. Ricky LU,,No.100 Jungong RD.,,China,Shanghai,Shanghai
9,"Shenzhen Jayo Technologies Co., Ltd.",https://jayotech.en.alibaba.com/contactinfo.html,Gold Supplier,6,"Grow Light Ballast, Control Board",https://jayotech.en.alibaba.com/company_profile.html#top-nav-bar,"Shenzhen Jayo Technologies Co., Ltd.",5.0,Mr. Mike Ye,Sales,"NO.39,YuanHu Road, ZhangBei Industrial zone, AiLian, Longgang District, Shenzhen China.",518172,China,Guangdong,Shenzhen
