,category,business_supplier,gold_status,gold_years,main_products,supplier_url,contacts_url
0,WomensClothing,"Beijing Qianbaidu Garment Co., Ltd.  ",Supplier,5.0,"Apparel (T-Shirt, Working Cloth, School Uniform, Sports Wear Shirt, Ski Suit",https://bjbeixue.en.alibaba.com/company_profile.html#top-nav-bar,https://bjbeixue.en.alibaba.com/contactinfo.html
1,WomensClothing,"Suzhou Chuan Zai Gu , Co., Ltd.  ",Gold Supplier,5.0,"retro clothing, vintage design clothing, plus size clothing, rockabilly clothes, vintage dresses",https://candowclothing.en.alibaba.com/company_profile.html#top-nav-bar,https://candowclothing.en.alibaba.com/contactinfo.html
2,WomensClothing,"Baoding Qianzun Import And Export Co., Ltd.  ",Supplier,9.0,"Hats & Caps, Apparel (Hoodies & Sweatshirts, Jackets, T-Shirts)",https://qianzun.en.alibaba.com/company_profile.html#top-nav-bar,https://qianzun.en.alibaba.com/contactinfo.html
3,WomensClothing,"Inner Mongolia Field Textile Products Co., Ltd.  ",Supplier,8.0,"Cashmere Scarf, Cashmere Shawl, Wool Scarf, Wool Shawl",https://imfield.en.alibaba.com/company_profile.html#top-nav-bar,https://imfield.en.alibaba.com/contactinfo.html
4,WomensClothing,"Wujiang Rainbow Textile Manufacturing Co., Ltd.  ",Supplier,9.0,"T Shirts, Hoodies & Sweatshirts, Pillow Case, Cushion, Underwear, Yoga Pant, Beach Shorts",https://jsrainbow.en.alibaba.com/company_profile.html#top-nav-bar,https://jsrainbow.en.alibaba.com/contactinfo.html
5,WomensClothing,"Fung Fashion Global Textile (Beijing) Co., Ltd.  ",Supplier,5.0,"Robe, Sleepwear",https://fungtextile.en.alibaba.com/company_profile.html#top-nav-bar,https://fungtextile.en.alibaba.com/contactinfo.html
6,WomensClothing,"Shenzhen DuoDuo Princess Children , Co., Ltd.  ",Gold Supplier,5.0,"children dress, children wedding dress, children casual dress, children dance dress, children tutu dress",https://ddprincess.en.alibaba.com/company_profile.html#top-nav-bar,https://ddprincess.en.alibaba.com/contactinfo.html
7,WomensClothing,"Fuzhou Bingo Trading Co., Ltd.  ",Gold Supplier,7.0,"Hats, Caps, T Shirts, Socks, Athletic apparel",https://fzbingo.en.alibaba.com/company_profile.html#top-nav-bar,https://fzbingo.en.alibaba.com/contactinfo.html
8,WomensClothing,"Hangzhou Dream Boat Garment Co., Ltd.  ",Gold Supplier,6.0,"Product suits, Product Waistcoat, Product Wintercoat, Product Blazer, Product Pants",https://glsuit.en.alibaba.com/company_profile.html#top-nav-bar,https://glsuit.en.alibaba.com/contactinfo.html
9,WomensClothing,"Zhejiang Wanyu Knitting Co., Ltd.  ",Gold Supplier,10.0,"Seamless underwear, Sportswear, Shapewear, Boxers&panties, Leggings",https://wanyuwear.en.alibaba.com/company_profile.html#top-nav-bar,https://wanyuwear.en.alibaba.com/contactinfo.html
