category,business_supplier,gold_status,gold_years,main_products,supplier_url,contacts_url
Cosmetics,"Guangdong Hengfang Biotechnology Co., Ltd.  ","
                                    Supplier
                                ",11,"Lipstick,Lip Balm,Mascara,Liquid Eyeliner",https://hengfang.en.alibaba.com/company_profile.html#top-nav-bar,https://hengfang.en.alibaba.com/contactinfo.html
Cosmetics,"Zhangjiagang Allwin Industrial Co., Ltd.  ","Gold Supplier
                            ",10,"Wooden Kitchenware,Wooden Bamboo Cutting Board,Wood Utensils,Bamboo Kitchenware,Wooden Bamboo Sunglasses",https://allwinto.en.alibaba.com/company_profile.html#top-nav-bar,https://allwinto.en.alibaba.com/contactinfo.html
Cosmetics,"Jiangxi Yashi Brush Life Goods Co., Ltd.  ","Gold Supplier
                            ",6,"Make-up Brush,Nail Brush,Hair Brush,Makeup Sponge,Makeup Case",https://yashibrush.en.alibaba.com/company_profile.html#top-nav-bar,https://yashibrush.en.alibaba.com/contactinfo.html
Cosmetics,"Ausmetics Daily Chemicals (Guangzhou) Co., Ltd.  ","
                                    Supplier
                                ",10,"Bath And Body Care,Facial Skin Care,Hair Care,Color Makeup,Mom And Baby Care",https://ausmetics.en.alibaba.com/company_profile.html#top-nav-bar,https://ausmetics.en.alibaba.com/contactinfo.html
Cosmetics,Shenzhen Perfect Idea Technology Limited  ,"
                                    Supplier
                                ",7,"Skin Care Device Series (Ultrasonic Beauty Device,Sonic Cleansing Brush,Body Slimming Machine,Photon LED Beauty Device,Ionic Steamer,Beauty Massager,Hot & Cold Beauty Device)",https://perfectidea.en.alibaba.com/company_profile.html#top-nav-bar,https://perfectidea.en.alibaba.com/contactinfo.html
Cosmetics,"Qingdao Super Far Import & Export Co., Ltd.  ","
                                    Supplier
                                ",13,"False Eyelash,Eyelash Extension,Eyelash Extension Tool,Hair Extension",https://qdnewstar.en.alibaba.com/company_profile.html#top-nav-bar,https://qdnewstar.en.alibaba.com/contactinfo.html
Cosmetics,"Anhui Weihan Imp.&Exp. Co., Ltd.  ","Gold Supplier
                            ",5,"silicone product,beauty product,sport product,daily use product,Promotional products",https://anhuiweihan.en.alibaba.com/company_profile.html#top-nav-bar,https://anhuiweihan.en.alibaba.com/contactinfo.html
Cosmetics,Landy Enterprise Limited  ,"Gold Supplier
                            ",9,"sap super absorbent polymer,adl nonwoven fabric,silicone release paper,construction adhesive glue,spandex yarn",https://ahlandy.en.alibaba.com/company_profile.html#top-nav-bar,https://ahlandy.en.alibaba.com/contactinfo.html
Cosmetics,"Qingdao Packbond Packing Co., Ltd.  ","Gold Supplier
                            ",5,"3D Mink Lashes,Eyelashes extensions,Customized eyelash paper boxes,silk lashes,synthetic lashes",https://qdpackbond.en.alibaba.com/company_profile.html#top-nav-bar,https://qdpackbond.en.alibaba.com/contactinfo.html
Cosmetics,"Yiwu Binyuan Hardware Co., Ltd.  ","Gold Supplier
                            ",8,"Nail lamp,Nail gel,Nail arts,Nail tools,Nail tips",https://binyuanexport.en.alibaba.com/company_profile.html#top-nav-bar,https://binyuanexport.en.alibaba.com/contactinfo.html
