business_supplier,contacts_url,gold_status,gold_years,main_products,supplier_url
"Xuzhou Seagor Import And Export Co., Ltd.",//seagor.en.alibaba.com/contactinfo.html,Gold Supplier,5,"Yarns,Polyester Yarns,Polyester Viscose Blend Yarns,Polyester Cotton Blend Yarns,Viscose Yarns",//seagor.en.alibaba.com/company_profile.html#top-nav-bar
"Shanghai Charmkey Textile Co., Ltd.",//charmkey.en.alibaba.com/contactinfo.html,Gold Supplier,5,"fancy yarn,Acrylic Fibre,Chenille Yarn,Ployester yarn,Acrylic Yarn",//charmkey.en.alibaba.com/company_profile.html#top-nav-bar
"Wuhan Yuanao Trading Co., Ltd.",//runnow.en.alibaba.com/contactinfo.html,Gold Supplier,7,"100% spun polyester yarn,polyester yarn,sewing thread,colored yarn,bag closing thread",//runnow.en.alibaba.com/company_profile.html#top-nav-bar
"Hangzhou Fuyang B W Trade Co., Ltd.",//fybw.en.alibaba.com/contactinfo.html,Gold Supplier,2,"Knitting yarn,wool yarn,wool blended yarn,fancy yarn,core spun yarn",//fybw.en.alibaba.com/company_profile.html#top-nav-bar
"Shaanxi King Whale Information Technology Co., Ltd.",//k-textilemachine.en.alibaba.com/contactinfo.html,Gold Supplier,3,"100% cotton &amp;dyed and print fabric,polyester cotton &amp; dyed and printed fabric,wax fabric,organic cotton fabric,textile testing equipment",//k-textilemachine.en.alibaba.com/company_profile.html#top-nav-bar
"Zhuji Hongdi Textile Co., Ltd.",//zjhongdi.en.alibaba.com/contactinfo.html,Gold Supplier,2,"spandex covered yarn,polyester DTY,rubber covered yarn,100% polyester spun yarn,nylon DTY",//zjhongdi.en.alibaba.com/company_profile.html#top-nav-bar
"Zhuji Zhuotai Import & Export Co., Ltd.",//zhujizhuotai.en.alibaba.com/contactinfo.html,Gold Supplier,3,"DTY,FDY,ACY,SCY,Dope Dyed Yarn",//zhujizhuotai.en.alibaba.com/company_profile.html#top-nav-bar
"Tongxiang Heshan Weiye Textile Co., Ltd.",//spunsilk.en.alibaba.com/contactinfo.html,Gold Supplier,14,"Spun silk,silk tops,silk slivers,silk quilts,silk blankets",//spunsilk.en.alibaba.com/company_profile.html#top-nav-bar
"Zhangjiagang Minhua Plastics Co., Ltd.",//zjgminhua.en.alibaba.com/contactinfo.html,Gold Supplier,4,"artificial grass yarn,straight grass yarn,curly grass yarn,straight &amp; curly grass yarn,KDK curly yarn",//zjgminhua.en.alibaba.com/company_profile.html#top-nav-bar
Hebei Gaibo Textiles Company Limited,//gaibo.en.alibaba.com/contactinfo.html,Gold Supplier,3,"TC woven fabric,Dyed fabric,printed fabric,yarn",//gaibo.en.alibaba.com/company_profile.html#top-nav-bar
Kingkonree Shenzhen Ltd.,//kingkonree.en.alibaba.com/contactinfo.html,Gold Supplier,12,"Solid Surface Sheets,Solid Surface Bathtubs,Solid Surface Sink,Customized Countertops,Customized Tables",//kingkonree.en.alibaba.com/company_profile.html#top-nav-bar
"Dongguan Simble Sanitary Furniture Industry Co., Ltd.",//dgvovsimble.en.alibaba.com/contactinfo.html,Gold Supplier,7,"Bathroom Cabinet,Bathroom Vanities,Solid Surface Wash Basin,Artificial Stone Sink,Solid Surface Sheet",//dgvovsimble.en.alibaba.com/company_profile.html#top-nav-bar
"Shenzhen Kingkonree Technology Co., Ltd.",//chinakingkonree.en.alibaba.com/contactinfo.html,Gold Supplier,10,"Solid Surface Sheets,Solid Surface Bathtubs,Solid Surface Sink,Customized Countertops,Customized Tables",//chinakingkonree.en.alibaba.com/company_profile.html#top-nav-bar
"Shenzhen Aiweiluo Technology Co., Ltd.",//szevalon.en.alibaba.com/contactinfo.html,Gold Supplier,6,"artificial stone acrylic solid surface,bathtub,quartz stone,kitchen sinks,wash basin",//szevalon.en.alibaba.com/company_profile.html#top-nav-bar
"Dongguan Kingkonree Artificial Stone Industry Co., Ltd.",//kkr.en.alibaba.com/contactinfo.html,Gold Supplier,6,"Solid Surface Sheets,Solid Surface Bathtubs,Solid Surface Sink,Customized Countertops,Customized Tables",//kkr.en.alibaba.com/company_profile.html#top-nav-bar
"Shenzhen Baotrol Building Material Co., Ltd.",//baotrol.en.alibaba.com/contactinfo.html,Gold Supplier,7,"Furniture,table,solid surface,sinks,display fixture",//baotrol.en.alibaba.com/company_profile.html#top-nav-bar
Shenzhen Tell World ,//tellworld.en.alibaba.com/contactinfo.html,Gold Supplier,10,"Office Furniture,Commercial Restaurant Coffee Counter Table Chairs,Solid Surface Slabs,Artificial Stone Sheet,Reception Front Desk",//tellworld.en.alibaba.com/company_profile.html#top-nav-bar
 ,//chinakkr.en.alibaba.com/contactinfo.html,Gold Supplier,8,"Solid Surface Sheets,Solid Surface Bathtubs,Solid Surface Sink,Customized Countertops,Customized Tables",//chinakkr.en.alibaba.com/company_profile.html#top-nav-bar
" Co., Ltd.",//macoquartzstone.en.alibaba.com/contactinfo.html,Supplier,3,"Quartz Slabs,Quartz Countertops and Related Accessories",//macoquartzstone.en.alibaba.com/company_profile.html#top-nav-bar
"Shenzhen Kingkonree Technology Co., Ltd.",//solidsurfacefurniture.en.alibaba.com/contactinfo.html,Gold Supplier,7,"solid surface slab,solid surface furniture,solid surface basin,solid surface reception counter,Bar counter",//solidsurfacefurniture.en.alibaba.com/company_profile.html#top-nav-bar
Kingkonree Shenzhen Ltd.,//kingkonree.en.alibaba.com/contactinfo.html,Gold Supplier,12,"Solid Surface Sheets,Solid Surface Bathtubs,Solid Surface Sink,Customized Countertops,Customized Tables",//kingkonree.en.alibaba.com/company_profile.html#top-nav-bar
"Eps Industry Engineering Co., Ltd.",//china-eps.en.alibaba.com/contactinfo.html,Gold Supplier,5,"EPS Raw Material,EPS block moulding machine,EPS shape moulding machine,EPS pre-expander,EPS cutting machine",//china-eps.en.alibaba.com/company_profile.html#top-nav-bar
"Dongguan Simble Sanitary Furniture Industry Co., Ltd.",//dgvovsimble.en.alibaba.com/contactinfo.html,Gold Supplier,7,"Bathroom Cabinet,Bathroom Vanities,Solid Surface Wash Basin,Artificial Stone Sink,Solid Surface Sheet",//dgvovsimble.en.alibaba.com/company_profile.html#top-nav-bar
"Foshan JCT Machinery Co., Ltd.",//fsjct.en.alibaba.com/contactinfo.html,Supplier,9,"Reactor,Kneading Machine,High Speed Dispersion Machine,Strong Dispersing Machine,Butterfly Twin Shafts Mixer",//fsjct.en.alibaba.com/company_profile.html#top-nav-bar
"Shenzhen Kingkonree Technology Co., Ltd.",//chinakingkonree.en.alibaba.com/contactinfo.html,Gold Supplier,10,"Solid Surface Sheets,Solid Surface Bathtubs,Solid Surface Sink,Customized Countertops,Customized Tables",//chinakingkonree.en.alibaba.com/company_profile.html#top-nav-bar
Beijing Sentinain Technology Inc.,//sidolimusa.en.alibaba.com/contactinfo.html,Supplier,9,"Fermenter,Freeze Drying,Turnkey Production Line",//sidolimusa.en.alibaba.com/company_profile.html#top-nav-bar
Shenzhen Baotrol Building ,//baotrol.en.alibaba.com/contactinfo.html,Gold Supplier,7,"Furniture,table,solid surface,sinks,display fixture",//baotrol.en.alibaba.com/company_profile.html#top-nav-bar
" Co., Ltd.",//grsmachine.en.alibaba.com/contactinfo.html,Gold Supplier,6,"Tissue Paper Line,Facial Making Machine,Towel Folding Machine Production Line,Paper Napkin Making Machine,Toilet Paper Making Machine",//grsmachine.en.alibaba.com/company_profile.html#top-nav-bar
"Hebei Greens Machinery Manufacturing Co., Ltd.",//kkr.en.alibaba.com/contactinfo.html,Gold Supplier,6,"Solid Surface Sheets,Solid Surface Bathtubs,Solid Surface Sink,Customized Countertops,Customized Tables",//kkr.en.alibaba.com/company_profile.html#top-nav-bar
"Dongguan Kingkonree Artificial Stone Industry Co., Ltd.",//frigmaires.trustpass.alibaba.com/contactinfo.html,Gold Supplier,12,"Paint Machine,Lube Oil Machine,Industrial Mixers,Dry Mix Mortar Machine,Grease Plant",//frigmaires.trustpass.alibaba.com/company_profile.html#top-nav-bar
"Foshan Hanse Ceramic Co., Ltd.",//redlionchina.en.alibaba.com/contactinfo.html,Gold Supplier,11,"Ceramic Tile,Porcelain Tile,Roofing Tile,Floor Tile,Mosaic",//redlionchina.en.alibaba.com/company_profile.html#top-nav-bar
"Xiamen Ogrand Stone Imp.& Exp. Co., Ltd.",//ograndstone.en.alibaba.com/contactinfo.html,Gold Supplier,6,"Countertop,Tiles,Tombstone,Building stone,Fountain",//ograndstone.en.alibaba.com/company_profile.html#top-nav-bar
"Guangzhou Brothers Stone Co., Ltd.",//gzbrothersstone.en.alibaba.com/contactinfo.html,Gold Supplier,6,"marble,granite,sink,stairs,Quartz",//gzbrothersstone.en.alibaba.com/company_profile.html#top-nav-bar
Shenzhen Tell World ,//tellworld.en.alibaba.com/contactinfo.html,Gold Supplier,10,"Office Furniture,Commercial Restaurant Coffee Counter Table Chairs,Solid Surface Slabs,Artificial Stone Sheet,Reception Front Desk",//tellworld.en.alibaba.com/company_profile.html#top-nav-bar
 ,//solidsurfacefurniture.en.alibaba.com/contactinfo.html,Gold Supplier,7,"solid surface slab,solid surface furniture,solid surface basin,solid surface reception counter,Bar counter",//solidsurfacefurniture.en.alibaba.com/company_profile.html#top-nav-bar
" Co., Ltd.",//worldwaveintl.trustpass.alibaba.com/contactinfo.html,Gold Supplier,1,"Porcelain Tiles,Ceramic Tiles,Sanitaryware,High Pressure Decorative Laminates,HPL",//worldwaveintl.trustpass.alibaba.com/company_profile.html#top-nav-bar
Shenzhen Tell World ,//magixity.en.alibaba.com/contactinfo.html,Gold Supplier,5,"Led Sign Material,Lightbox,PVC Foam Board,Acrylic Sheet,Acrylic Sign",//magixity.en.alibaba.com/company_profile.html#top-nav-bar
 ,//jh-acrylic.en.alibaba.com/contactinfo.html,Gold Supplier,3,"Wood grain acrylic,acrylic sheet,Glitter acrylic sheet,Marble acrylic sheet,Water grain acrylic",//jh-acrylic.en.alibaba.com/company_profile.html#top-nav-bar
