business_supplier,contacts_url,gold_status,gold_years,main_products,supplier_url
"Hangzhou Fuyang Hupu Hansway (Boway) Trading Co., Ltd.",//bowaychina.en.alibaba.com/contactinfo.html,Supplier,11,"Small Program-Controlled Paper Cutter,Folding Machine,Creasing Machine,Laminator Machine,Glue Binder Machine",//bowaychina.en.alibaba.com/company_profile.html#top-nav-bar
"Hangzhou Taoxing Printing Machinery Co., Ltd.",//screen.en.alibaba.com/contactinfo.html,Gold Supplier,11,"Screen printing machine,UV curing machine,Pad printer,Drying machine,printing machine",//screen.en.alibaba.com/company_profile.html#top-nav-bar
"Zhejiang Haopu Electronics Co., Ltd.",//haopu.en.alibaba.com/contactinfo.html,Gold Supplier,13,"Binding Machine,Shredder,Laminator",//haopu.en.alibaba.com/company_profile.html#top-nav-bar
"Hangzhou Leado Tech Co., Ltd.",//leado.en.alibaba.com/contactinfo.html,Gold Supplier,5,"glue binding machine,paper cutting machine,laminating machine,business card cutter,paper creasing&amp;perforating machine",//leado.en.alibaba.com/company_profile.html#top-nav-bar
"Hangzhou Fuyang Sigo Office Supplies Co., Ltd.",//chinasigo.en.alibaba.com/contactinfo.html,Gold Supplier,4,"paper cutter,perfect binding machine,laminating machine,binding machine,folding machine",//chinasigo.en.alibaba.com/company_profile.html#top-nav-bar
"Jiaozuo Newest Machinery Co., Ltd.",//newestmachinery.en.alibaba.com/contactinfo.html,Gold Supplier,4,"Food cart,fry ice cream machine,ice cream making machine,Chocolate Enrobing Machine,fruit and vegetable machine",//newestmachinery.en.alibaba.com/company_profile.html#top-nav-bar
"Hangzhou Befitter Machinery & Electronic Co., Ltd.",//befitter.en.alibaba.com/contactinfo.html,Supplier,9,"Laminator,Cold Laminator,Roll Laminator,Paper Cutter,Binding Machine",//befitter.en.alibaba.com/company_profile.html#top-nav-bar
"Nanjing Oracle Digital Technology Co., Ltd.",//inkjetpaper.en.alibaba.com/contactinfo.html,Supplier,11,"Photo Paper,Heat Transfer Paper",//inkjetpaper.en.alibaba.com/company_profile.html#top-nav-bar
"Wenzhou Feihua Printing Machinery Co., Ltd.",//newstar-machine.en.alibaba.com/contactinfo.html,Gold Supplier,9,"Laminating Machine,UV Coating Machine,Bopp thermal film,PET/HOLOGRAM thermal film,FLUTE LAMINATING MACHINE",//newstar-machine.en.alibaba.com/company_profile.html#top-nav-bar
"Hangzhou Caide Office Equipment Co., Ltd.",//wenderfactory.en.alibaba.com/contactinfo.html,Gold Supplier,8,"Paper Cutting Machine,Perfect glue binder,Laminating Machine,paper creasing machine,notebook stapler",//wenderfactory.en.alibaba.com/company_profile.html#top-nav-bar
Jiangmen Huayue Photographic Equipment Factory,//jmhuayue.en.alibaba.com/contactinfo.html,Gold Supplier,10,"Pattern Laminator,UV Coating Machine,Three In One Machine,Pattern Laminating Machine,Flatten Machine",//jmhuayue.en.alibaba.com/company_profile.html#top-nav-bar
"Zhengzhou Audley Digital Control Equipments Co., Ltd.",//audley-printer.en.alibaba.com/contactinfo.html,Supplier,7,"Laminator,UV Printer,Inkjet Printer,Digital Foil Printer,Heat Transfer Machine",//audley-printer.en.alibaba.com/company_profile.html#top-nav-bar
"Guangdong Gengshun Technology Co., Ltd.",//gshun.en.alibaba.com/contactinfo.html,Gold Supplier,5,"Comb binding machine,Laminating machine,Fingerprint attendance,Fingerprint series products,Card holder",//gshun.en.alibaba.com/company_profile.html#top-nav-bar
"Zhengzhou Kinda Electronic Technology Co., Ltd.",//zzjmd.en.alibaba.com/contactinfo.html,Supplier,8,"Laminator,UV Printer,Inkjet Printer,Digital Foil Printer,Oscillating Knife Cutting Machine",//zzjmd.en.alibaba.com/company_profile.html#top-nav-bar
