business_supplier,contacts_url,gold_status,gold_years,main_products,supplier_url
"Dalian Holy Trading Co., Ltd.",//holyart.en.alibaba.com/contactinfo.html,Gold Supplier,6,"glass,plastic,metal,christmas,cup",//holyart.en.alibaba.com/company_profile.html#top-nav-bar
"Ronix (Zhangjiagang Bonded Area) Trading Co., Ltd.",//ronixtools.en.alibaba.com/contactinfo.html,Supplier,4,"Power Tools,Massage Tools,Cordless Screwdriver Drill,Garden Tools,Garage Tools",//ronixtools.en.alibaba.com/company_profile.html#top-nav-bar
"Shanghai UB Machinery Co., Ltd.",//shyoubai.en.alibaba.com/contactinfo.html,Gold Supplier,12,"Torque Tools (Mechanical Torque Wrench,Electronic Torque Wrench,Dial Torque Wrench,Torque Multipliers,Pneumatic Tool",//shyoubai.en.alibaba.com/company_profile.html#top-nav-bar
Suzhou Matthew Consultation Ltd.,//matthewtool.en.alibaba.com/contactinfo.html,Gold Supplier,3,"Woodworking clamps,Caulking Guns,Garden Tools,Drill Bits,Plier",//matthewtool.en.alibaba.com/company_profile.html#top-nav-bar
"Cixi Modern Electric Industrialist Co., Ltd.",//modern-china.en.alibaba.com/contactinfo.html,Supplier,11,"Car accessories (Snow brush,Ice scraper,Snow shovel,Auto vacuum cleaner,Drain tool,Cleaning brush,Squeegee) (All for export)",//modern-china.en.alibaba.com/company_profile.html#top-nav-bar
"Ronix (Zhangjiagang Bonded Area) Trading Co., Ltd.",//ronix-handtools.en.alibaba.com/contactinfo.html,Supplier,2,"Power Tools,Massage Tools,Cordless Screwdriver Drill,Garden Tools,Garage Tools",//ronix-handtools.en.alibaba.com/company_profile.html#top-nav-bar
"JCOOL CO., LTD.",//jcool-taiwan.en.alibaba.com/contactinfo.html,Gold Supplier,1,"Bike tools,Bicycle tool,bicycle torque sleeve,bicycle torque wrench,bicycle tool kit",//jcool-taiwan.en.alibaba.com/company_profile.html#top-nav-bar
"HUNG CHING TZAN ENTERPRISE CO., LTD.",//fujiyatw.en.alibaba.com/contactinfo.html,Gold Supplier,1,"Combination Pliers,Electronic Diagonal Pliers,Plastic Cutting Nippers,Long Nose Pliers,Multi-Function Scissors",//fujiyatw.en.alibaba.com/company_profile.html#top-nav-bar
"Taian Beacon Machine Manufacturing Co., Ltd.",//beaconmachine.en.alibaba.com/contactinfo.html,Gold Supplier,5,"diesel test bench,common rail test bench,diesel parts,diesel tools,balance macine",//beaconmachine.en.alibaba.com/company_profile.html#top-nav-bar
"Hengshui Hao Fa Rubber & Plastic Products Co., Ltd.",//haofarubber.en.alibaba.com/contactinfo.html,Gold Supplier,2,"Auto parts,Oil cooler tubing,brake hose",//haofarubber.en.alibaba.com/company_profile.html#top-nav-bar
"Ruian Jia Beir Auto Parts Co., Ltd.",//jbrautoparts.en.alibaba.com/contactinfo.html,Supplier,11,"Racing Seat,Office Chair,Air Filter,Harness Bar,Racing Simulator",//jbrautoparts.en.alibaba.com/company_profile.html#top-nav-bar
"Shanghai AOYI Electric Co., Ltd.",//aoyimeter.en.alibaba.com/contactinfo.html,Supplier,6,"Solid State Relay,Power Regulator,Voltage Regulator,Temperature Controller,Analog Panel Meter",//aoyimeter.en.alibaba.com/company_profile.html#top-nav-bar
Xian Huihong Vehicle Parts Company Limited,//motorhomes.en.alibaba.com/contactinfo.html,Supplier,4,"Motor Homes Parts,MPV Parts,Vehicle Parts,Vehicle Seat Parts,Truck Seat Parts",//motorhomes.en.alibaba.com/company_profile.html#top-nav-bar
"Zhongshan Ruikang Electric Appliance Co., Ltd.",//ruikang-cn.en.alibaba.com/contactinfo.html,Supplier,11,"Power Supplies Equipment (Automatic Voltage Regulator &amp; Stabilizer,UPS,Inverter,Step Up and Down Transformer,Battery Charger)",//ruikang-cn.en.alibaba.com/company_profile.html#top-nav-bar
"Zhejiang Wellsun Intelligent Technology Co., Ltd.",//wellsun.en.alibaba.com/contactinfo.html,Gold Supplier,8,Energy Meter,//wellsun.en.alibaba.com/company_profile.html#top-nav-bar
"Danyang Eastern Motor Vehicle Accessories & Hardware Co., Ltd.",//cnseat.en.alibaba.com/contactinfo.html,Gold Supplier,13,"Game Seat,Office Chairs,Car Seat,Racing Seats,Boat Seat",//cnseat.en.alibaba.com/company_profile.html#top-nav-bar
