,business_supplier,contacts_url,gold_status,gold_years,main_products,supplier_url
0,"Shanghai Lipu Electric Lighting Co., Ltd.",https://lpzm.en.alibaba.com/contactinfo.html,Gold Supplier,12,"Floodlight, Street Light, Ballast, Ignitor, LED Floodlight, LED Street Light",https://lpzm.en.alibaba.com/company_profile.html#top-nav-bar
1,"Quanzhou Orientrise Horticulture Products Co., Ltd.",https://growstar.en.alibaba.com/contactinfo.html,Gold Supplier,9,"Grow Tent, Grow Pot, Bubble Bag, Inline Fan, Carbon Filter",https://growstar.en.alibaba.com/company_profile.html#top-nav-bar
2,"Sinowell (Shanghai) Co., Ltd.",https://sinowell.en.alibaba.com/contactinfo.html,Supplier,11,"Ballast, Reflector, Bulb, Filter, Inline Fan, Reflective Mylar Film, Rope Ratchet Hanger",https://sinowell.en.alibaba.com/company_profile.html#top-nav-bar
3,"Changzhou City Wujin Shinder Lighting Appliances Co., Ltd.",https://czxinde.en.alibaba.com/contactinfo.html,Gold Supplier,13,"Flood Light, street light, Metal Halide lamp, led flood light, led street light",https://czxinde.en.alibaba.com/company_profile.html#top-nav-bar
4,"Huizhou HongYi Lighting Co., Ltd.",https://hydroponics-products.en.alibaba.com/contactinfo.html,Gold Supplier,7,"Grow Light Reflector, Carbon Filter, Grow Tent, Double Ended Reflector, Lighting Parts",https://hydroponics-products.en.alibaba.com/company_profile.html#top-nav-bar
5,"Lanxi Bistar Lighting Co., Ltd.",https://bistar.en.alibaba.com/contactinfo.html,Gold Supplier,13,"Lamp, Electronic Ballast",https://bistar.en.alibaba.com/company_profile.html#top-nav-bar
6,"Chi Na Tech (HZ) Co., Ltd.",https://horti-king.en.alibaba.com/contactinfo.html,Gold Supplier,6,"Grow Lights, Ventilation Fan, Dehumidifier, Grow Tent, Carbon Filter",https://horti-king.en.alibaba.com/company_profile.html#top-nav-bar
7,"Shanghai JingRui Lighting Co., Ltd.",https://jr-lighting.en.alibaba.com/contactinfo.html,Gold Supplier,3,"LED light, HID Light, Tower light, Grow light, Street light",https://jr-lighting.en.alibaba.com/company_profile.html#top-nav-bar
8,"Shanghai Millenium Industry Co., Ltd.",https://millenium.en.alibaba.com/contactinfo.html,Supplier,2,"Grow Light, Fishing Light, Infrared Light, Ballast",https://millenium.en.alibaba.com/company_profile.html#top-nav-bar
9,"Shenzhen Jayo Technologies Co., Ltd.",https://jayotech.en.alibaba.com/contactinfo.html,Gold Supplier,6,"Grow Light Ballast, Control Board",https://jayotech.en.alibaba.com/company_profile.html#top-nav-bar
