business_supplier2,fulfilment,rating,supplier_url2,transactions
"Chi Na Tech (HZ) Co., Ltd.",Manufacturer,4.2,h,1
"Lanxi Bistar Lighting Co., Ltd.","Manufacturer, Trading Company",0.0,h,-
"Quanzhou Orientrise Horticulture Products Co., Ltd.","Manufacturer, Trading Company",4.8,h,3
"Shanghai Millenium Industry Co., Ltd.","Manufacturer, Trading Company",4.9,h,8
"Shanghai JingRui Lighting Co., Ltd.","Manufacturer, Trading Company",4.9,h,1
"Shenzhen Jayo Technologies Co., Ltd.","Manufacturer, Trading Company",5.0,h,6
"Changzhou City Wujin Shinder Lighting Appliances Co., Ltd.","Manufacturer, Trading Company",4.3,h,6
"Sinowell (Shanghai) Co., Ltd.","Manufacturer, Trading Company",4.9,h,2
"Huizhou HongYi Lighting Co., Ltd.","Manufacturer, Trading Company",4.9,h,2
business_supplier2,fulfilment,rating,supplier_url2,transactions
"Changzhou City Wujin Shinder Lighting Appliances Co., Ltd.","Manufacturer, Trading Company",4.3,h,6
"Lanxi Bistar Lighting Co., Ltd.","Manufacturer, Trading Company",0.0,h,-
"Chi Na Tech (HZ) Co., Ltd.",Manufacturer,4.2,h,1
"Huizhou HongYi Lighting Co., Ltd.","Manufacturer, Trading Company",4.9,h,2
"Sinowell (Shanghai) Co., Ltd.","Manufacturer, Trading Company",4.9,h,2
"Shenzhen Jayo Technologies Co., Ltd.","Manufacturer, Trading Company",5.0,h,6
"Shanghai JingRui Lighting Co., Ltd.","Manufacturer, Trading Company",4.9,h,1
"Quanzhou Orientrise Horticulture Products Co., Ltd.","Manufacturer, Trading Company",4.8,h,3
"Shanghai Millenium Industry Co., Ltd.","Manufacturer, Trading Company",4.9,h,8
business_supplier2,fulfilment,rating,supplier_url2,transactions
"Chi Na Tech (HZ) Co., Ltd.",,4.2,h,1
"Quanzhou Orientrise Horticulture Products Co., Ltd.",,4.8,h,3
"Lanxi Bistar Lighting Co., Ltd.",,0.0,h,-
"Huizhou HongYi Lighting Co., Ltd.",,4.9,h,2
"Shanghai JingRui Lighting Co., Ltd.",,4.9,h,1
"Changzhou City Wujin Shinder Lighting Appliances Co., Ltd.",,4.3,h,6
"Shanghai Lipu Electric Lighting Co., Ltd.",,0.0,h,7
"Sinowell (Shanghai) Co., Ltd.",,4.9,h,2
"Shanghai Millenium Industry Co., Ltd.",,4.9,h,8
"Shenzhen Jayo Technologies Co., Ltd.",,5.0,h,6
business_supplier2,fulfilment,rating,supplier_url2,transactions
"Quanzhou Orientrise Horticulture Products Co., Ltd.",,4.8,h,3
"Shanghai Lipu Electric Lighting Co., Ltd.",,0.0,h,7
"Lanxi Bistar Lighting Co., Ltd.",,0.0,h,-
"Changzhou City Wujin Shinder Lighting Appliances Co., Ltd.",,4.3,h,6
"Huizhou HongYi Lighting Co., Ltd.",,4.9,h,2
"Shenzhen Jayo Technologies Co., Ltd.",,5.0,h,6
"Chi Na Tech (HZ) Co., Ltd.",,4.2,h,1
"Shanghai JingRui Lighting Co., Ltd.",,4.9,h,1
"Shanghai Millenium Industry Co., Ltd.",,4.9,h,8
"Sinowell (Shanghai) Co., Ltd.",,4.9,h,2
business_supplier2,fulfilment,rating,supplier_url2,transactions
"Changzhou City Wujin Shinder Lighting Appliances Co., Ltd.",,4.3,h,6
"Quanzhou Orientrise Horticulture Products Co., Ltd.",,4.8,h,3
"Lanxi Bistar Lighting Co., Ltd.",,0.0,h,-
"Shanghai Lipu Electric Lighting Co., Ltd.",,0.0,h,7
"Shenzhen Jayo Technologies Co., Ltd.",,5.0,h,6
"Huizhou HongYi Lighting Co., Ltd.",,4.9,h,2
"Shanghai JingRui Lighting Co., Ltd.",,4.9,h,1
"Sinowell (Shanghai) Co., Ltd.",,4.9,h,2
"Shanghai Millenium Industry Co., Ltd.",,4.9,h,8
"Chi Na Tech (HZ) Co., Ltd.",,4.2,h,1
business_supplier2,fulfilment,rating,supplier_url2,transactions,url
"Shanghai Lipu Electric Lighting Co., Ltd.",,0.0,h,7,h
"Quanzhou Orientrise Horticulture Products Co., Ltd.",,4.8,h,3,h
"Huizhou HongYi Lighting Co., Ltd.",,4.9,h,2,h
"Changzhou City Wujin Shinder Lighting Appliances Co., Ltd.",,4.3,h,6,h
"Lanxi Bistar Lighting Co., Ltd.",,0.0,h,-,h
"Chi Na Tech (HZ) Co., Ltd.",,4.2,h,1,h
"Shanghai Millenium Industry Co., Ltd.",,4.9,h,8,h
"Shanghai JingRui Lighting Co., Ltd.",,4.9,h,1,h
"Shenzhen Jayo Technologies Co., Ltd.",,5.0,h,6,h
"Sinowell (Shanghai) Co., Ltd.",,4.9,h,2,h
